instance,structure,primal_source_inventory,dual_source_inventory,general_casebook_role,historical_primal,historical_dual,historical_conclusion,primal_category,primal_project_baseline,primal_project_result,historical_copt_dual,historical_project_dual,newer_dual_audit_bound,newer_dual_audit_evidence,newer_dual_audit_limits,general_rule,primal_transferable_rule,primal_limitation,source_url,snapshot_commit
genus-sym-g31-8,Graph embeddings and rotation systems,True,True,not_explicitly_mapped_here,-23 (genus 3),-23 exhaustive result,"Optimal, specialized exact exhaustive computation; no standalone proof trace",not_in_project_primal_table,,,-27,-23,,,,,Construct new witnesses on compact rotation/face states; distinguish equivalent face labels from genuine topological changes.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-sym-g31-8/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
genus-sym-g62-2,Graph embeddings and rotation systems,True,True,not_explicitly_mapped_here,-38 (MPS tolerance 1e-6),-40 (exact),Complete short-face catalogue and rational dual; optimum open,not_in_project_primal_table,,,-54,-40,,,,,Construct new witnesses on compact rotation/face states; distinguish equivalent face labels from genuine topological changes.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-sym-g62-2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
genus-sym-grafo5708-48,Graph embeddings and rotation systems,True,True,not_explicitly_mapped_here,-21 (genus 4),-21 exhaustive result,"Optimal, specialized exact exhaustive computation; no standalone proof trace",not_in_project_primal_table,,,-27,-21,,,,,Construct new witnesses on compact rotation/face states; distinguish equivalent face labels from genuine topological changes.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-sym-grafo5708-48/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ger50-17-ptp-pop-3t,Network design with continuous recourse,True,True,not_explicitly_mapped_here,"5,224.5144 (strict)","5,183.93592586653 (solver)",Exact flow scaling; conflicting Gurobi 13 zero-gap output rejected; 0.7767% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,"Transfer a verifiable design; jointly release capacity, routing, and operating choices, then re-solve the continuous recourse.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ger50-17-ptp-pop-3t/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
gmut-76-40,Forest set packing and interperiod smoothing,True,True,not_explicitly_mapped_here,"-14,169,477.7859 (strict repaired)","-14,171,086.31587 (solver)",Exact-decimal primal audit; 0.0114% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,Preserve area and adjacency no-harvest constraints while jointly adjusting multi-period flows; enlarge the destroy neighborhood when the difference support forms a large component.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/gmut-76-40/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
gmut-76-50,Forest set packing and interperiod smoothing,True,True,named_case_or_family_expansion,-14171397.8275 (strict),no new certified global bound,Public lower-looking witness is nonintegral; no incumbent improvement claimed,not_in_project_primal_table,,,,,,,,strict integer audit and differential support connected decision multiple deletion multiple scales; not claimed improvement,Preserve area and adjacency no-harvest constraints while jointly adjusting multi-period flows; enlarge the destroy neighborhood when the difference support forms a large component.,"The lower official point is nonintegral; rounding it violates a flow row by 0.065235, and ordinary three-column exchanges did not repair it.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/gmut-76-50/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graph40-20-1rand,Disjoint graph-cut packing,True,True,not_explicitly_mapped_here,-15 (15 cuts),"-15 published, graph identity not certified",Feasible; global optimality not locally certified,not_in_project_primal_table,,,,,,,,,"Construct cut sets or SAT cutoff witnesses on the original graph, then regenerate the compiled variables.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graph40-20-1rand/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graph40-40-1rand,Disjoint graph-cut packing,True,True,named_case_or_family_expansion,-9 (9 cuts),-9,"Optimal, original-MPS/CNF/LRAT certificate",not_in_project_primal_table,,,-68.9559386,-9,,,,Exact cutoff coding and independent DRAT/LRAT checking,"Construct cut sets or SAT cutoff witnesses on the original graph, then regenerate the compiled variables.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graph40-40-1rand/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graph40-80-1rand,Disjoint graph-cut packing,True,True,named_case_or_family_expansion,-7,-7,"Optimal, original-MPS/CNF/LRAT certificate",not_in_project_primal_table,,,-495.450445,-7,,,,Exact cutoff coding and independent DRAT/LRAT checking,"Construct cut sets or SAT cutoff witnesses on the original graph, then regenerate the compiled variables.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graph40-80-1rand/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graphdraw-mainerd,"Layout, packing, and geometric relations",True,True,not_explicitly_mapped_here,"38,842 (exact reconstruction)","31,882 (exact global certificate)",New global geometric proof; historical six-rectangle local exclusion remains separate; global optimum open,not_in_project_primal_table,,,31493.2257,**31882**,31882,Local exact geometric projection plus four-direction branch-dual certificates,"Adopt the new exact bound 31882. This is a new proof, not a replay of the original search for 31769. Earlier local results allowing only a limited number of rectangles to move are excluded from the global proof chain. Optimality is not claimed.",,"Search over objects, orientations, and relative orders rather than auxiliary bits; move critical paths jointly and back-substitute every geometric row.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graphdraw-mainerd/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graphdraw-opmanager,"Layout, packing, and geometric relations",True,True,not_explicitly_mapped_here,"99,445.5","58,950 (exact global certificate)",New global geometric proof; historical four-rectangle local exclusion remains separate; global optimum open,not_in_project_primal_table,,,56741.4457,**58950**,58950,Local exact geometric projection plus four-direction branch-dual certificates,"Adopt the new exact bound 58950. This is a new proof, not a replay of the original search for 58625.5. Earlier local results allowing only a limited number of rectangles to move are excluded from the global proof chain. Optimality is not claimed.",,"Search over objects, orientations, and relative orders rather than auxiliary bits; move critical paths jointly and back-substitute every geometric row.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graphdraw-opmanager/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
gsvm2rl11,Classifier construction and outlier selection,True,True,not_explicitly_mapped_here,"18,539.12716192643 (strict)","2,096.755457820071",Feasible; sparse-exchange prototypes tested; global optimum open,not_in_project_primal_table,,,,,,,,,"Jointly exchange sample-selection z variables, then solve the continuous classification recourse; choose neighborhoods using support differences and margins.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/gsvm2rl11/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
gsvm2rl9,Classifier construction and outlier selection,True,True,not_explicitly_mapped_here,"7,438.181167767967 (strict)","2,289.659530409",Feasible; no official-target improvement within z radius 8; global optimum open,not_in_project_primal_table,,,,,,,,,"Jointly exchange sample-selection z variables, then solve the continuous classification recourse; choose neighborhoods using support differences and margins.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/gsvm2rl9/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ivu06,Support exchanges for covering and partitioning,True,True,not_explicitly_mapped_here,142.864331576,135.900242315 (portable),Exact rational dual checked against all columns; global optimum open,not_in_project_primal_table,,,,,,,,,"After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ivu06/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
liu,"Layout, packing, and geometric relations",True,True,not_explicitly_mapped_here,"1,082 (new strict solution)","1,074 (area + even-lattice certificate)","Feasible; target-1,080 critical-path study closes two restricted neighborhoods, but global optimum remains open",numeric_improvement,1083.984782,1082,560,1074,,,,,"Search over objects, orientations, and relative orders rather than auxiliary bits; move critical paths jointly and back-substitute every geometric row.",The value 1082 was found by sequence-pair CP-SAT in 460.253 s. Even dimensions plus the difference system ensure that an optimum can be even; the next target is 1080.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/liu/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
lr1dr02vc05v8a-t360,Inventory routing and cargo-vehicle coupling,True,True,not_explicitly_mapped_here,"123,046.81611861245 (strict normalized)",no new bound,Route RVND/ILS and capacity-preserving compound exchanges tested; global optimum open,not_in_project_primal_table,,,,,,,,,"Jointly change trips, loads, and multi-period inventory; use historical routes only as candidates and recomplete them.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/lr1dr02vc05v8a-t360/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
milo-v12-6-r1-75-1,Component selection and mechanical recourse,True,True,not_explicitly_mapped_here,"1,153,756.398205675","1,125,907.0416245167 (solver)","2.4138% numerical gap; 5,236 fixed-topology tests; global optimum open",not_in_project_primal_table,,,,,,,,,Search joint selections beyond the closed member radius; verify them with equilibrium/displacement LPs.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/milo-v12-6-r1-75-1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
milo-v13-4-3d-4-0,Component selection and mechanical recourse,True,True,not_explicitly_mapped_here,"358,152.26219370891","221,230.41433552347 (solver)",Same verified design; prior member-radius-7 result retained; global optimum open,not_in_project_primal_table,,,,,,,,,Search joint selections beyond the closed member radius; verify them with equilibrium/displacement LPs.,Changing at most seven members produced no better solution; small floating-point objective changes for the same design do not count as a new design.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/milo-v13-4-3d-4-0/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
mining,Mining precedence and interperiod capacity,True,True,named_case_or_family_expansion,"-833,589,149.2736538586882046","-835,361,895.5863052144840282387439 (strict)",Exact certified interval; 0.2126642740% gap; global optimum open,not_in_project_primal_table,,,-933493233,-835361895.5863052144840282387439,,,,"Closed/path core with few resources; min-cut/DP, Lagrangian day with valid certificate",Use mining times as the state and jointly release consecutive periods and the precedence closure; explicitly record restrictions used when updating the final pit.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/mining/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
minutedispatchstrategy,Power dispatch,True,True,not_explicitly_mapped_here,"3,109.9034777596576","3,109.9034777596576 (Gurobi)","Repository computational closure; official page still open; strict primal audit, not yet incorporated into or confirmed by MIPLIB, and no portable exact lower-bound certificate",not_in_project_primal_table,,,3109.78686,3109.9034777596576,3109.9034777596576,Original model plus historical global numerical solver closure; historical discrepancy retained,"The new lower bound is adopted following the user decision, while retaining the old PDF primal=3109.90308, which is approximately 0.00039776 below the new bound; its corresponding original solution is still missing. Residuals from another COPT solution do not explain that specific historical record. The discrepancy remains unresolved, and no verified counterexample was found. Adopting the new value is a usage decision, not a proof that the unresolved issue has been settled.",,First verify the strict integer decisions and continuous recourse; stop primal search on the same model when closure evidence is already available.,"The strict objective is about 3.45e-12 above v36. The contribution is computational closure, not primal improvement.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/minutedispatchstrategy/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
n3700,Network design with continuous recourse,True,True,not_explicitly_mapped_here,"1,247,295 (strict)","1,063,103.147061621",Feasible; fixed-charge/network repair tested; global optimum open,not_in_project_primal_table,,,,,,,,,"Transfer a verifiable design; jointly release capacity, routing, and operating choices, then re-solve the continuous recourse.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/n3700/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
nag,Selection cores and local coupling,True,True,not_explicitly_mapped_here,930 (verified @ 1e-9),550.540540540541,Feasible under the stated tolerance; global optimum open,numeric_improvement,945,930,465,550.5405405405405,550.5405405405405,Traceable original MPS and runner plus historical global numerical solver evidence,"Accepted under a standard permitting reasonable global numerical solver results. Not all internal cuts or the branch tree were independently checked, and no commercial numerical rerun was performed. API decimals are numerical records, not digit-by-digit exact certificates. Improvement over the old COPT PDF cannot be attributed to a specific parameter and is not proof of a same-budget performance advantage.",,Recover cost/resource blocks from row incidence and run short pilots on structural neighborhoods; do not infer unknown semantics from names.,The value 930 comes from a generic 2700 s COPT run; no evidence attributes it to a specialized structural algorithm.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/nag/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-2629914-sudost,"Network, matching, and discrete cores",True,True,not_explicitly_mapped_here,"48,180","48,180","Optimal, exact QAP/cut-enumeration certificate",not_in_project_primal_table,,,42387.0653,48180,,,,,"Eliminate constructible auxiliary variables while preserving conservation, parity, and connectivity conditions; generate a complete witness from a small core.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-2629914-sudost/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-2978205-isar,Repeated columns and type counts,True,True,named_case_or_family_expansion,-11.925808687,-11.925808687,"Optimal, computational global conclusion; exact symmetry quotient and lift with no portable formal lower-bound trace",not_in_project_primal_table,,,,,,,,"Reassemble as a type count, proof quotient to the original model lift","After validating complete column signatures, search over multiplicities; implement the lift explicitly and check all side rows.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-2978205-isar/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3009394-lami,"Network, matching, and discrete cores",True,True,not_explicitly_mapped_here,5.5,5.5,"Optimal, exact Hall/matching certificate",not_in_project_primal_table,,,1.92857143,5.5,,,,,"Eliminate constructible auxiliary variables while preserving conservation, parity, and connectivity conditions; generate a complete witness from a small core.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3009394-lami/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3355120-tarago,Selection cores and local coupling,True,True,not_explicitly_mapped_here,"-11,110,906.689290019 (verified @ 1e-9)","-11,123,832.676970437",Feasible; incumbent-centered binary exchange attempted; 0.1163% gap remains,not_in_project_primal_table,,,-11712060.9,-11123832.676970437,-11123832.676970437,Traceable original MPS and runner plus historical global numerical solver evidence,"Accepted under a standard permitting reasonable global numerical solver results. Not all internal cuts or the branch tree were independently checked, and no commercial numerical rerun was performed. API decimals are numerical records, not digit-by-digit exact certificates. Improvement over the old COPT PDF cannot be attributed to a specific parameter and is not proof of a same-budget performance advantage.",,Recover cost/resource blocks from row incidence and run short pilots on structural neighborhoods; do not infer unknown semantics from names.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3355120-tarago/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3355323-arnon,Finite-domain feasibility and covering repair,True,True,not_explicitly_mapped_here,no feasible witness,no infeasibility certificate,Exact order-CSP/CNF search remains unknown,not_in_project_primal_table,,,,,,,,,Preserve hard quotas or bounds and construct repairs from unsatisfied constraints; retain only a near-feasible label until every constraint is satisfied.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3355323-arnon/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3594536-henty,"Network, matching, and discrete cores",True,True,not_explicitly_mapped_here,"401,092","401,092 (Gurobi/COPT)","Computational optimum; exact primal audit, no portable exact lower-bound certificate",numeric_improvement,401223,401092,397821.689,401092,401092,Rigorous structural reduction plus historical numerical closure by two solvers,The reduction is rigorous; the value 401092 is supported by historical global solver evidence. Agreement between two solvers and a feasible solution of value 401092 do not constitute an independent exact lower-bound certificate; neither solver was rerun in this audit. Improve-only cutoff branches and the weaker 400947 were not substituted for the original claim.,,"Eliminate constructible auxiliary variables while preserving conservation, parity, and connectivity conditions; generate a complete witness from a small core.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3594536-henty/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3603137-hoteo,Finite-domain feasibility and covering repair,True,True,not_explicitly_mapped_here,no feasible point,CP and SAT UNKNOWN,Global feasibility open; no UNSAT proof,not_in_project_primal_table,,,,,,,,,Preserve hard quotas or bounds and construct repairs from unsatisfied constraints; retain only a near-feasible label until every constraint is satisfied.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3603137-hoteo/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3634244-kauru,Equal-cardinality minimax clustering,True,True,not_explicitly_mapped_here,1398.0156859 (strict),no new certified global bound,Equitable-minimax-clustering recovery; no incumbent improvement claimed,not_in_project_primal_table,,,,,,,,,Fix a lower cost threshold and make joint exchanges in the conflict graph that preserve seven points per cluster.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3634244-kauru/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3691541-lonja,Selection cores and local coupling,True,True,not_explicitly_mapped_here,0.0918239856 (strict),no new certified global bound,Exact subset witnesses plus complete-hint CP-SAT; public lower-valued pattern fails zero-tolerance feasibility; global optimum open,not_in_project_primal_table,,,,,,,,,Recover cost/resource blocks from row incidence and run short pilots on structural neighborhoods; do not infer unknown semantics from names.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3691541-lonja/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-4355351-swalm,"Network, matching, and discrete cores",True,True,named_case_or_family_expansion,33.45763,33.45763,"Optimal, exact state-Steiner DP and zero-violation witness",not_in_project_primal_table,,,,,,,,Find the small state map core and run out of DP; complete the enumeration with global boundaries,"Eliminate constructible auxiliary variables while preserving conservation, parity, and connectivity conditions; generate a complete witness from a small core.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-4355351-swalm/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-4360552-sangro,"Network, matching, and discrete cores",True,True,not_explicitly_mapped_here,-8,-8,"Optimal, exact active-layer quotient and A=9 relaxed infeasibility",not_in_project_primal_table,,,-12.0644768,-8,,,,,"Eliminate constructible auxiliary variables while preserving conservation, parity, and connectivity conditions; generate a complete witness from a small core.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-4360552-sangro/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-4533806-waima,Selection cores and local coupling,True,True,not_explicitly_mapped_here,"4,870 (exact audit)","3,956 (solver)",Exact aggregation and path-component LNS completed; no improvement; global optimum open,not_in_project_primal_table,,,,,,,,,Recover cost/resource blocks from row incidence and run short pilots on structural neighborhoods; do not infer unknown semantics from names.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-4533806-waima/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-5045105-creuse,Selection cores and local coupling,True,True,not_explicitly_mapped_here,20.571410408673 (Gurobi-accepted),19.932229270717,Feasible under solver tolerances; combined observed gap 3.1071%; strict verification and global optimum open,not_in_project_primal_table,,,,,,,,,Recover cost/resource blocks from row incidence and run short pilots on structural neighborhoods; do not infer unknown semantics from names.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-5045105-creuse/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-5266653-tugela,Routing with load or time potentials,True,True,not_explicitly_mapped_here,"65,257.573990387 (new strict incumbent)",no new certified global bound,Three-vehicle-block LNS and two exact original-MPS audits; improves MIPLIB by 247.6265848893; global optimum open,numeric_improvement,65505.2005752763,65257.573990387,,,,,,,"After recovering routes, construct assignments and routes first, then complete time, load, and indicator variables; transfer only checked data.","The 18 vehicle blocks are interleaved by column and cannot be treated as contiguous slices; jointly releasing vehicles 3, 11, and 12 succeeded, after which the continuous potentials were repaired.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-5266653-tugela/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
nj1,Population-balanced connected partitioning,True,True,not_explicitly_mapped_here,382.0606208032 (improved first strict incumbent),no new nontrivial strict global lower bound,"Tree/compound search, 21 pair, 39 anchor-fixed triple, and 67 anchor-fixed quad closures, plus a zero-tolerance audit; global optimum open",first_finite,=unkn=,382.0606208032,,,,,,,Use regional recombination and compound kicks followed by local descent; remove old anchors or expand the joint regional scope.,Shares the underlying 595-unit partition with nj2/nj3; these three results are not three independent discoveries.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/nj1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
nj2,Population-balanced connected partitioning,True,True,not_explicitly_mapped_here,382.0606208032 (improved first strict incumbent),no new nontrivial strict global lower bound,"Exact lift, local-neighborhood closures, and zero-tolerance audit; global optimum open",first_finite,=unkn=,382.0606208032,,,,,,,Use regional recombination and compound kicks followed by local descent; remove old anchors or expand the joint regional scope.,"For the same partition, regenerate the root/flow variables and verify the additional label constraints.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/nj2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
nj3,Population-balanced connected partitioning,True,True,not_explicitly_mapped_here,382.0606208032 (first strict incumbent),no new nontrivial strict global lower bound,"Exact nj2 -> nj3 projection, label anchoring, local-neighborhood closures, and zero-tolerance audit; global optimum open",first_finite,=unkn=,382.0606208032,,,,,,,Use regional recombination and compound kicks followed by local descent; remove old anchors or expand the joint regional scope.,"At the current center 382.0606208032, 21 pairs, 39 anchored triples, and 67 anchored quads are closed; the next step is to change the union, anchor, or larger structure.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/nj3/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ns1631475,"Network, matching, and discrete cores",True,True,named_case_or_family_expansion,"11,100","11,100","Optimal, exact cyclic-cutwidth enumeration and audited witness",not_in_project_primal_table,,,1659,11100,,,,Find the small state map core and run out of DP; complete the enumeration with global boundaries,"Eliminate constructible auxiliary variables while preserving conservation, parity, and connectivity conditions; generate a complete witness from a small core.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ns1631475/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ns1828997,Selection cores and local coupling,True,True,not_explicitly_mapped_here,8,no new lower-bound-8 certificate,Exact 375-choice projection and cutoff-7 CNF; exact search remains unknown,not_in_project_primal_table,,,,,,,,,Recover cost/resource blocks from row incidence and run short pilots on structural neighborhoods; do not infer unknown semantics from names.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ns1828997/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ns1905797,Routing with load or time potentials,True,True,not_explicitly_mapped_here,13.98258 (new strict incumbent),"12.38858 (COPT, numerical)",Serialized file passes zero-tolerance Fraction audit; 11.40% numerical gap; global optimum open,first_finite,=unkn=,13.98258,,,,,,,"After recovering routes, construct assignments and routes first, then complete time, load, and indicator variables; transfer only checked data.","The LP allocation 19/8/9/24 was imbalanced. After changing it to 20/11/11/18, blockwise construction and the warm start improved; block solutions from different allocations must not be mixed.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ns1905797/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
